time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,max-len,complex-chaining,max-params,max-nested-callbacks,max-statements,complexity,max-depth,complex-switch-case,this-assign,no-reassign,extra-bind,cond-assign,smelly,event
0,9,8,3,11,340,0,0,0,0,0,0,0,0,0,1,1,0,1,1
66,10,10,10,20,340,0,0,0,0,0,0,0,0,0,1,1,0,1,1
171,11,3,3,6,340,0,0,0,0,0,0,0,0,0,1,1,0,1,1
49,12,28,16,44,352,0,0,0,0,0,0,0,0,0,1,1,0,1,1
0,13,8,1,9,359,0,0,0,0,0,0,0,0,0,1,1,0,1,1
62,14,13,11,24,361,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1,15,1,1,2,361,0,0,0,0,0,0,0,0,0,1,1,0,1,1
0,15,0,3,3,358,0,0,0,0,0,0,0,0,0,1,1,0,1,0
62,15,2,2,4,358,0,0,0,0,0,0,0,0,0,1,1,0,1,0
21,16,6,4,10,360,0,0,0,0,0,0,0,0,0,1,1,0,1,1
362,16,6,3,9,363,0,0,0,0,0,0,0,0,0,1,1,0,1,0
399,16,36,24,60,376,0,0,0,0,0,0,0,0,0,1,1,0,1,0
481,16,7,5,12,378,0,0,0,0,0,0,0,0,0,1,1,0,1,0
679,17,7,1,8,384,0,0,0,0,0,0,0,0,0,1,1,0,1,1
1294,17,0,384,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,2,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18,0,1,1,2,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,0,1,1,2,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0
648,1,2,2,4,34,0,0,0,0,0,0,0,0,0,1,0,0,1,1
84,1,3,0,3,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,1,0,3,3,34,0,0,0,0,0,0,0,0,0,1,0,0,1,0
817,1,0,3,3,31,0,0,0,0,0,0,0,0,0,1,0,0,1,0
312,1,5,1,6,36,0,0,0,0,0,0,0,0,0,1,0,0,1,0
277,2,7,3,10,35,0,0,0,0,0,0,0,0,0,1,0,0,1,1
25,2,9,0,9,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2076,2,4,1,5,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1772,2,17,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2,27,5,32,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,2,1,1,2,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
69,2,2,2,4,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
176,2,20,7,27,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0
335,2,2,2,4,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0
165,2,1,1,2,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0
363,2,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,6,6,12,52,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6403,2,13,23,36,42,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4879,2,1,1,2,42,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1611,2,0,4,4,38,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,2,4,3,7,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,2,1,1,2,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6650,2,1,1,2,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2520,2,2,2,4,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,1,2,180,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18,0,1,1,2,180,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,0,1,1,2,180,0,0,0,0,0,0,0,0,0,1,0,0,1,0
648,1,8,8,16,180,0,0,0,0,0,0,0,0,0,1,0,0,1,1
84,1,3,0,3,183,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,1,0,3,3,180,0,0,0,0,0,0,0,0,0,1,0,0,1,0
279,1,3,3,6,180,0,0,0,0,0,0,0,0,0,1,0,0,1,0
274,2,1,1,2,180,0,0,0,0,0,0,0,0,0,1,0,0,1,1
235,2,6,9,15,177,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5,2,1,0,1,178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,2,1,1,2,178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,2,4,3,7,179,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,2,0,1,1,178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,2,3,3,6,178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,2,1,1,2,178,0,0,0,0,0,0,0,0,0,1,0,0,1,0
292,2,3,2,5,179,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20,2,11,1,12,190,0,0,0,0,0,0,0,0,0,1,0,0,1,0
302,2,16,3,19,192,0,0,0,0,0,0,0,0,0,1,0,0,1,0
266,2,2,0,2,192,0,0,0,0,0,0,0,0,0,1,0,0,1,0
148,2,36,31,67,210,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1086,2,72,52,124,230,0,0,0,0,0,0,0,0,0,1,0,0,1,0
377,2,14,8,22,236,0,0,0,0,0,0,0,0,0,1,0,0,1,0
816,2,1,0,1,237,0,0,0,0,0,0,0,0,0,1,0,0,1,0
481,2,0,3,3,234,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,2,16,5,21,245,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1187,2,76,0,76,76,0,0,0,0,0,0,0,0,0,1,0,0,1,0
163,2,3,1,4,78,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,2,2,0,2,80,0,0,0,0,0,0,0,0,0,1,0,0,1,0
253,2,54,9,63,125,0,0,0,0,0,0,0,0,0,1,0,0,1,0
185,3,1,1,2,125,0,0,0,0,0,0,0,0,0,1,0,0,1,1
135,3,0,245,245,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3,1,1,2,125,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,3,6,8,14,123,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18,3,3,6,9,120,0,0,0,0,0,0,0,0,0,1,0,0,1,0
101,4,23,2,25,141,0,0,0,0,0,0,0,0,0,1,0,0,1,1
192,4,3,14,17,130,0,0,0,0,0,0,0,0,0,1,0,0,1,0
192,5,20,1,21,149,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,6,20,11,31,158,0,0,0,0,0,0,0,0,0,1,0,0,1,1
99,7,6,0,6,164,0,0,0,0,0,0,0,0,0,1,0,0,1,1
8,9,5,2,7,167,0,0,0,0,0,0,0,0,0,1,0,0,1,1
14,9,8,0,8,175,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10,9,1,1,2,175,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,17,1,1,2,175,0,0,0,0,0,0,0,0,0,1,0,0,1,1
31,17,6,2,8,179,0,0,0,0,0,0,0,0,0,1,0,0,1,0
399,18,6,4,10,181,0,0,0,0,0,0,0,0,0,1,0,0,1,1
617,19,4,2,6,183,0,0,0,0,0,0,0,0,0,1,0,0,1,1
650,19,2,4,6,181,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3278,19,1,1,2,181,0,0,0,0,0,0,0,0,0,1,0,0,1,0
766,19,6,15,21,172,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1932,20,0,2,2,170,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1556,21,1,1,2,170,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3002,21,0,4,4,166,0,0,0,0,0,0,0,0,0,1,0,0,1,0
27,21,5,7,12,164,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,21,2,0,2,166,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4779,21,1,1,2,166,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5151,0,0,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,1,0
209,0,3,2,5,72,0,0,0,0,0,0,0,0,0,1,0,0,1,0
243,0,1,0,1,73,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,0,1,1,72,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,0,2,1,3,73,0,0,0,0,0,0,0,0,0,1,0,0,1,0
247,0,36,40,76,69,0,0,0,0,0,0,0,0,0,1,0,0,1,0
219,0,8,8,16,69,0,0,0,0,0,0,0,0,0,1,0,0,1,0
95,0,3,1,4,71,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,17,5,22,83,0,0,0,0,0,0,0,0,0,1,0,0,1,0
71,0,2,1,3,84,0,0,0,0,0,0,0,0,0,1,0,0,1,0
188,0,2,2,4,84,0,0,0,0,0,0,0,0,0,1,0,0,1,0
359,0,8,11,19,81,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,0,1,1,2,81,0,0,0,0,0,0,0,0,0,1,0,0,1,0
286,0,2,0,2,83,0,0,0,0,0,0,0,0,0,1,0,0,1,0
